reference_id,offer_family,audience_role,industry_tags,problem_tags,company_type_tags,sentence_type,exact_sentence,supporting_notes,active
OFF-AUTO-001,internal_automation,operations_lead,"retail|finance|professional_services|multi_site","manual_processes|admin|handoffs|automation","sme|midmarket",offer_core,"We help teams take repetitive internal processes out of email and spreadsheets and turn them into practical automations people actually use.","Core automation offer",true
OFF-AUTO-002,internal_automation,operations_lead,"retail|finance|professional_services|multi_site","manual_processes|admin|handoffs|automation","sme|midmarket",offer_delivery,"That can cover things like approvals, notifications, data movement, exception handling and simple internal workflows without a heavyweight rebuild.","Automation scope sentence",true
OFF-AUTO-003,internal_automation,operations_lead,"retail|finance|professional_services|multi_site","manual_processes|admin|handoffs|automation","sme|midmarket",cta,"If useful, I can sketch where automation would remove the most admin first.","Automation CTA",true
OFF-PBI-001,power_bi_dashboards,finance_director,"retail|finance|professional_services|distribution","reporting|dashboards|visibility|manual_reporting","sme|midmarket",offer_core,"We build Power BI dashboards that replace spreadsheet-heavy reporting with something leadership can actually use day to day.","Core Power BI offer",true
OFF-PBI-002,power_bi_dashboards,finance_director,"retail|finance|professional_services|distribution","reporting|dashboards|visibility|manual_reporting","sme|midmarket",offer_delivery,"That usually means clearer reporting across sales, stock, finance or operations without asking the team to maintain another manual process.","Power BI scope sentence",true
OFF-PBI-003,power_bi_dashboards,finance_director,"retail|finance|professional_services|distribution","reporting|dashboards|visibility|manual_reporting","sme|midmarket",cta,"Happy to show the kind of reporting structure we would put in place.","Power BI CTA",true
OFF-CRM-001,crm_fix_and_rebuild,sales_ops_lead,"retail|finance|professional_services|b2b_services","crm|pipeline|data_quality|sales_process","sme|midmarket",offer_core,"We help teams clean up and rebuild CRM setups so the pipeline, reporting and day-to-day usage stop fighting each other.","Core CRM offer",true
OFF-CRM-002,crm_fix_and_rebuild,sales_ops_lead,"retail|finance|professional_services|b2b_services","crm|pipeline|data_quality|sales_process","sme|midmarket",offer_delivery,"That can mean restructuring properties and pipelines, fixing data issues, tightening reporting and making the system easier for the team to use properly.","CRM scope sentence",true
OFF-CRM-003,crm_fix_and_rebuild,sales_ops_lead,"retail|finance|professional_services|b2b_services","crm|pipeline|data_quality|sales_process","sme|midmarket",cta,"If helpful, I can outline the sort of CRM cleanup work that tends to make the biggest difference first.","CRM CTA",true
OFF-RET-001,retail_data_reporting,commercial_director,"retail|ecommerce|wholesale","sales_data|stock_data|margin|trading_visibility","sme|midmarket",offer_core,"We help retail teams make better use of sales, stock and trading data so reporting is quicker and decisions are based on the same numbers.","Core retail data offer",true
OFF-RET-002,retail_data_reporting,commercial_director,"retail|ecommerce|wholesale","sales_data|stock_data|margin|trading_visibility","sme|midmarket",offer_delivery,"That often means bringing fragmented sales and stock reporting into one view that is easier to trust and act on.","Retail data scope sentence",true
OFF-RET-003,retail_data_reporting,commercial_director,"retail|ecommerce|wholesale","sales_data|stock_data|margin|trading_visibility","sme|midmarket",cta,"I can share an example of how we would structure that view for a retail team.","Retail CTA",true
OFF-MKT-001,marketing_data_reporting,marketing_ops_lead,"retail|ecommerce|consumer|multi_site","marketing_data|channel_performance|reporting","sme|midmarket",offer_core,"We help teams pull marketing data into cleaner reporting so channel performance is easier to understand without manual weekly wrangling.","Core marketing data offer",true
OFF-MKT-002,marketing_data_reporting,marketing_ops_lead,"retail|ecommerce|consumer|multi_site","marketing_data|channel_performance|reporting","sme|midmarket",offer_delivery,"That can bring campaign, spend and conversion reporting into one place so the team can spend more time acting on it than assembling it.","Marketing scope sentence",true
OFF-MKT-003,marketing_data_reporting,marketing_ops_lead,"retail|ecommerce|consumer|multi_site","marketing_data|channel_performance|reporting","sme|midmarket",cta,"If useful, I can show the kind of reporting layer we normally build around marketing data.","Marketing CTA",true
OFF-TEXT-001,comment_and_text_analysis,customer_insight_lead,"retail|consumer|hospitality|services","comments|feedback|text_analysis|sentiment","sme|midmarket",offer_core,"We help teams analyse comments and free-text feedback so recurring issues and themes are easier to spot at scale.","Core comment analysis offer",true
OFF-TEXT-002,comment_and_text_analysis,customer_insight_lead,"retail|consumer|hospitality|services","comments|feedback|text_analysis|sentiment","sme|midmarket",offer_delivery,"That can sit alongside operational or commercial reporting so customer feedback becomes more useful than a long list of comments.","Comment analysis scope sentence",true
OFF-TEXT-003,comment_and_text_analysis,customer_insight_lead,"retail|consumer|hospitality|services","comments|feedback|text_analysis|sentiment","sme|midmarket",cta,"Happy to share how we would approach comment analysis without overcomplicating it.","Comment analysis CTA",true
OFF-FREE-001,free_diagnostic,founder,"retail|finance|professional_services|distribution|consumer","manual_processes|reporting|crm|automation|data_quality","sme|midmarket",offer_core,"A simple starting point is a short diagnostic of where reporting, CRM or internal processes are creating avoidable manual work.","Free diagnostic offer",true
OFF-FREE-002,free_diagnostic,founder,"retail|finance|professional_services|distribution|consumer","manual_processes|reporting|crm|automation|data_quality","sme|midmarket",offer_delivery,"We usually use that to show where the quickest wins are before anyone commits to a larger piece of work.","Free diagnostic scope sentence",true
OFF-FREE-003,free_diagnostic,founder,"retail|finance|professional_services|distribution|consumer","manual_processes|reporting|crm|automation|data_quality","sme|midmarket",cta,"If that is easier, we could start there and keep it practical.","Free diagnostic CTA",true
